item_id,item_name,n,accuracy,macro_f1,qwk,mae,far_off_rate,within_one,f1_class3,severe_recall,false_severe_rate,run
1,NoInterest,219,0.4611872146118721,0.2682209482846381,0.18181818181818188,0.6118721461187214,0.0547945205479452,0.9452054794520548,0.0,0.0,0.0,R0
2,Depressed,219,0.4657534246575342,0.35252567442391997,0.403900891232327,0.6164383561643836,0.0730593607305936,0.9269406392694064,0.16666666666666666,0.1111111111111111,0.01990049751243781,R0
3,Sleep,219,0.4337899543378995,0.4017517911419887,0.4112280107538263,0.7488584474885844,0.1598173515981735,0.8401826484018264,0.3404255319148936,0.22857142857142856,0.021739130434782608,R0
4,Tired,219,0.365296803652968,0.3028858799617408,0.2499378538875846,0.7945205479452054,0.1506849315068493,0.8493150684931506,0.1951219512195122,0.14285714285714285,0.04712041884816754,R0
5,Appetite,219,0.3835616438356164,0.310173860183275,0.281574630945872,0.7853881278538812,0.1552511415525114,0.8447488584474886,0.12903225806451613,0.08333333333333333,0.02564102564102564,R0
6,Failure,219,0.4474885844748858,0.31655204772345286,0.35765300082863116,0.6986301369863014,0.1324200913242009,0.867579908675799,0.06451612903225806,0.041666666666666664,0.03076923076923077,R0
7,Concentrating,219,0.3972602739726027,0.24228225538411272,0.23022847100175747,0.7671232876712328,0.1552511415525114,0.8447488584474886,0.0,0.0,0.01015228426395939,R0
8,Moving,219,0.684931506849315,0.3041172751699067,0.09952169170093139,0.4155251141552511,0.0730593607305936,0.9269406392694064,0.0,0.0,0.0,R0
1,NoInterest,219,0.4429223744292237,0.2778745644599303,0.1217248491329922,0.6757990867579908,0.0958904109589041,0.9041095890410958,0.0,0.0,0.004761904761904762,R1_prev
2,Depressed,219,0.4840182648401826,0.38205282112845135,0.3510237068965517,0.639269406392694,0.1141552511415525,0.8858447488584474,0.16666666666666666,0.1111111111111111,0.01990049751243781,R1_prev
3,Sleep,219,0.4246575342465753,0.36536291134557475,0.4295342250522006,0.7579908675799086,0.1689497716894977,0.8310502283105022,0.18867924528301888,0.14285714285714285,0.07065217391304347,R1_prev
4,Tired,219,0.3835616438356164,0.36459125346071775,0.35401558575384817,0.7534246575342466,0.1278538812785388,0.8721461187214612,0.3902439024390244,0.2857142857142857,0.02617801047120419,R1_prev
5,Appetite,219,0.4474885844748858,0.36527570636577766,0.3594301994301995,0.7077625570776256,0.136986301369863,0.863013698630137,0.23529411764705882,0.16666666666666666,0.03076923076923077,R1_prev
6,Failure,219,0.4474885844748858,0.3677375839178352,0.42548919881146774,0.6666666666666666,0.1141552511415525,0.8858447488584474,0.2222222222222222,0.125,0.0,R1_prev
7,Concentrating,219,0.4383561643835616,0.328725748410921,0.3139614989666333,0.726027397260274,0.1415525114155251,0.8584474885844748,0.21428571428571427,0.13636363636363635,0.015228426395939087,R1_prev
8,Moving,219,0.6666666666666666,0.31756664388243333,0.14045737610550002,0.4383561643835616,0.0867579908675799,0.91324200913242,0.0,0.0,0.0,R1_prev
1,NoInterest,219,0.4748858447488584,0.35836754140325566,0.2764722351843212,0.6073059360730594,0.0639269406392694,0.9360730593607306,0.15384615384615385,0.1111111111111111,0.014285714285714285,R2_status_quo
